movieId,tagId,relevance
1,29,0.907
1,63,0.955
1,64,0.98875
1,186,0.9585
1,193,0.8035
1,203,0.9055
1,204,0.9545
1,244,0.999
1,278,0.82425
1,309,0.84675
1,310,0.87
1,374,0.836
1,412,0.9335
1,414,0.85375
1,415,0.8015
1,445,0.8565
1,464,0.8065
1,469,0.904
1,497,0.814
1,536,0.92875
1,588,0.9785
1,589,0.9885
1,603,0.88475
1,717,0.8595
1,742,0.88225
1,785,0.96975
1,786,0.9955
1,971,0.917
1,1036,0.9995
1,1062,0.882
2,29,0.978
2,62,0.88525
2,132,0.8085
2,203,0.82625
2,204,0.96875
2,374,0.869
2,377,0.95675
2,378,0.8835
2,415,0.868
2,584,0.94175
2,588,0.9475
2,604,0.836
2,951,0.94
2,1074,0.81775
3,230,0.87575
3,451,0.96775
3,901,0.97
3,902,0.93775
4,201,0.87875
4,1116,0.97625
5,230,0.8335
5,374,0.86525
5,383,0.90275
5,451,0.96925
5,808,0.904
5,901,0.9575
5,902,0.95625
6,19,0.9295
6,105,0.94275
6,128,0.808
6,195,0.84675
6,240,0.85375
6,241,0.895
6,268,0.98
6,302,0.8285
6,323,0.82925
6,365,0.859
6,424,0.84775
6,452,0.80925
6,465,0.9545
6,468,0.8645
6,469,0.836
6,481,0.8975
6,482,0.82825
6,498,0.9665
6,536,0.918
6,553,0.862
6,612,0.879
6,634,0.82175
6,646,0.8315
6,742,0.80525
6,806,0.83325
6,841,0.87125
6,846,0.88375
6,857,0.81825
6,999,0.827
6,1020,0.8435
6,1085,0.89825
6,1089,0.8295
7,109,0.85725
7,299,0.80675
7,450,0.84125
7,614,0.803
7,742,0.8015
7,769,0.865
7,849,0.982
7,863,0.9235
7,864,0.967
7,865,0.9535
8,21,0.848
8,22,0.94075
8,107,0.8875
8,605,0.831
9,19,0.97775
9,20,0.91025
9,369,0.83025
9,389,0.911
9,447,0.97025
9,525,0.90325
9,609,0.96075
9,896,0.84775
9,1075,0.845
10,1,0.9995
10,2,1
10,19,0.97275
10,29,0.80325
10,81,0.887
10,151,0.999
10,195,0.93
10,361,0.9605
10,406,0.97825
10,447,0.88
10,896,0.95525
10,955,0.87025
10,961,0.87175
11,201,0.8235
11,323,0.903
11,388,0.84825
11,439,0.88075
11,531,0.80925
11,614,0.9445
11,798,0.9735
11,800,0.98925
11,811,0.997
11,863,0.943
11,864,0.93275
11,865,0.95575
11,922,0.918
11,1119,0.97775
12,230,0.84875
12,379,0.81175
12,505,0.85425
12,770,0.98475
12,958,0.9925
12,1067,0.81825
13,40,0.948
13,62,0.90375
13,63,0.971
13,64,0.9755
13,186,0.85025
13,316,0.991
13,317,0.96525
13,589,0.9715
13,1007,0.977
14,133,0.977
14,134,0.893
14,135,0.95475
14,798,0.81625
14,800,0.924
14,811,0.9805
14,833,0.82925
14,1119,0.976
15,19,0.978
15,20,0.8325
15,29,0.97575
15,132,0.911
15,195,0.81
15,447,0.8065
15,784,0.9945
15,1001,0.99325
15,1005,0.9115
15,1006,0.9165
15,1043,0.9755
15,1044,0.998
16,107,0.80375
16,128,0.84475
16,146,0.81375
16,169,0.8755
16,187,0.992
16,240,0.85675
16,258,0.925
16,268,0.84925
16,269,0.87125
16,365,0.861
16,423,0.9955
16,424,0.991
16,452,0.82775
16,463,0.88175
16,465,0.95175
16,469,0.9155
16,472,0.9405
16,510,0.90525
16,536,0.92725
16,595,0.9695
16,611,0.80125
16,622,0.9955
16,634,0.9035
16,658,0.994
16,691,0.96475
16,741,0.99925
16,742,0.8325
16,750,0.817
16,758,0.9485
16,981,0.9405
16,1084,0.96325
16,1085,0.98225
16,1089,0.82375
17,3,0.9805
17,10,0.9145
17,21,0.84825
17,22,0.973
17,107,0.8465
17,121,0.815
17,122,0.81475
17,164,0.80925
17,201,0.825
17,259,0.9665
17,350,0.89625
17,574,0.93275
17,606,0.932
17,608,0.8275
17,771,0.85225
17,774,0.96625
17,863,0.841
17,864,0.9535
17,923,0.85125
18,526,0.88425
18,735,0.8875
18,972,0.84925
19,34,0.84025
19,230,0.985
19,272,0.8245
19,300,0.97325
19,332,0.97975
19,333,0.8215
19,416,0.86075
19,417,0.903
19,418,0.89125
19,451,0.91075
19,455,0.9905
19,476,0.81025
19,505,0.94325
19,742,0.81375
19,770,0.823
19,901,0.9565
19,902,0.93075
19,919,0.857
19,920,0.9845
19,979,0.93675
19,980,0.8735
19,1071,0.94975
20,19,0.94075
20,20,0.82625
20,195,0.83625
20,447,0.83725
20,1038,0.85175
21,424,0.8165
21,467,0.818
21,469,0.86825
21,658,0.90775
21,742,0.836
22,300,0.9715
22,558,0.8955
22,682,0.873
22,683,0.88975
22,797,0.9105
22,823,0.833
22,824,0.86875
22,874,0.81
22,903,0.99825
22,999,0.948
22,1000,0.968
22,1020,0.83825
22,1025,0.89425
23,19,0.9585
23,20,0.80625
23,81,0.99875
23,82,0.9865
23,83,0.98975
23,195,0.9055
23,447,0.93375
23,481,0.8715
23,510,0.9965
23,512,0.97675
23,646,0.83975
23,997,0.93775
24,348,0.8015
24,527,0.8575
24,625,0.81175
24,1035,0.9175
25,25,0.8835
25,42,0.935
25,138,0.84975
25,194,0.82225
25,292,0.8305
25,296,0.9135
25,297,0.9425
25,319,0.86425
25,323,0.831
25,328,0.981
25,465,0.9125
25,496,0.84525
25,557,0.8295
25,595,0.86175
25,610,0.9815
25,613,0.90175
25,614,0.82075
25,640,0.969
25,641,0.84775
25,742,0.846
25,746,0.89225
25,747,0.951
25,846,0.915
25,1122,0.8155
26,109,0.8125
26,465,0.813
26,912,0.996
26,1037,0.82225
27,26,0.952
27,203,0.907
27,235,0.98275
27,236,0.89475
27,412,0.9595
27,439,0.97725
27,452,0.8225
27,717,0.85575
27,1062,0.9595
27,1116,0.94525
28,3,0.96175
28,10,0.87625
28,21,0.92725
28,22,0.984
28,122,0.8165
28,259,0.82475
28,350,0.8955
28,574,0.958
28,606,0.91825
28,774,0.92125
29,46,0.808
29,86,0.8155
29,122,0.8565
29,139,0.8205
29,143,0.80375
29,192,0.89375
29,203,0.839
29,204,0.8845
29,212,0.88625
29,221,0.894
29,240,0.83425
29,285,0.94475
29,287,0.9965
29,325,0.914
29,326,0.97025
29,336,0.8905
29,351,0.84975
29,371,0.85
29,377,0.81425
29,378,0.88875
29,411,0.84725
29,420,0.931
29,535,0.98125
29,634,0.86375
29,640,0.82075
29,710,0.88075
29,742,0.88275
29,972,0.878
29,974,0.90325
29,977,0.8815
29,982,0.91925
29,995,0.99075
29,996,0.9445
29,1090,0.99175
29,1091,0.96525
29,1092,0.993
29,1093,0.9035
29,1104,0.9865
30,5,0.86675
30,122,0.86425
30,212,0.9415
30,423,0.8075
30,972,0.83675
30,977,0.83525
30,1090,0.8255
31,452,0.834
31,503,0.8925
31,548,0.86225
31,646,0.85175
31,1010,0.94125
32,18,0.81825
32,52,0.89275
32,192,0.91075
32,220,0.813
32,240,0.96875
32,242,0.97275
32,243,0.94325
32,250,0.85825
32,285,0.80825
32,299,0.823
32,311,0.85
32,336,0.94475
32,337,0.99875
32,349,0.9255
32,364,0.81875
32,419,0.997
32,420,0.97625
32,438,0.90875
32,465,0.885
32,468,0.95925
32,535,0.9065
32,536,0.939
32,547,0.90425
32,552,0.8345
32,554,0.88525
32,642,0.80725
32,652,0.92575
32,714,0.913
32,715,0.80075
32,742,0.95325
32,743,0.84225
32,789,0.88375
32,802,0.911
32,803,0.9045
32,806,0.81425
32,822,0.82175
32,824,0.802
32,886,0.98225
32,887,0.92775
32,889,0.9865
32,890,0.968
32,972,0.91
32,1012,0.84375
32,1027,0.99675
32,1028,0.97575
32,1045,0.83925
32,1049,0.80975
32,1050,0.81025
32,1051,0.91775
32,1090,0.8125
32,1091,0.81325
32,1092,0.82625
32,1104,0.8865
33,12,0.93375
33,92,0.801
34,61,0.97275
34,62,0.981
34,204,0.94525
34,278,0.907
34,279,0.8955
34,374,0.80325
34,497,0.92575
34,589,0.87375
34,742,0.85375
34,783,0.9525
34,1003,0.85575
34,1007,0.98475
35,78,0.8365
35,107,0.9305
35,350,0.84725
35,613,0.95125
35,614,0.86125
35,846,0.9465
36,107,0.941
36,113,0.821
36,238,0.91525
36,268,0.939
36,292,0.97275
36,293,0.99075
36,323,0.91175
36,324,0.84075
36,348,0.815
36,465,0.9315
36,478,0.81275
36,585,0.833
36,598,0.80725
36,601,0.905
36,682,0.901
36,747,0.9635
36,844,0.93
36,936,0.859
37,11,0.9455
37,705,0.858
37,972,0.92225
37,1012,0.852
37,1090,0.885
37,1093,0.805
38,27,0.84275
38,278,0.923
38,279,0.9365
38,439,0.9085
38,922,0.987
38,1004,0.955
39,26,0.8505
39,94,0.8935
39,201,0.952
39,230,0.867
39,236,0.8495
39,381,0.866
39,415,0.82675
39,428,0.82275
39,439,0.98425
39,503,0.9855
39,1013,0.9935
39,1014,0.9975
39,1015,0.97575
39,1016,0.95025
39,1017,0.965
40,34,0.92075
40,107,0.9655
40,898,0.95725
40,939,0.96925
41,5,0.97175
41,21,0.86275
41,51,0.839
41,109,0.955
